no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,loan_status,total_assets_value
2, Graduate, No,5400000,12500000,4,622, Approved,34500000
1, Not Graduate, Yes,1700000,4500000,20,480, Rejected,8100000
4, Graduate, No,4300000,11500000,20,337, Rejected,39300000
1, Graduate, No,5200000,11200000,6,698, Approved,43200000
4, Not Graduate, No,4400000,17000000,18,302, Rejected,22800000
1, Not Graduate, Yes,3900000,7800000,14,349, Rejected,27100000
0, Graduate, No,1100000,3300000,10,482, Rejected,7600000
2, Graduate, No,2500000,8200000,10,429, Rejected,13700000
4, Graduate, No,500000,1300000,8,471, Rejected,3000000
0, Graduate, Yes,9000000,32400000,10,895, Approved,52800000
1, Not Graduate, Yes,5100000,20300000,18,757, Approved,31800000
2, Graduate, No,5200000,13500000,2,777, Approved,33800000
5, Not Graduate, Yes,4400000,8900000,4,761, Approved,26300000
1, Graduate, No,1900000,4200000,12,821, Approved,14400000
4, Not Graduate, Yes,9200000,26500000,6,662, Approved,33600000
2, Not Graduate, Yes,4800000,16500000,10,350, Rejected,22800000
4, Not Graduate, No,4900000,10700000,20,321, Rejected,19200000
3, Graduate, Yes,4800000,10100000,4,368, Rejected,34200000
4, Graduate, No,9300000,24900000,14,455, Rejected,81300000
5, Not Graduate, Yes,7500000,24600000,8,744, Approved,31200000
1, Graduate, No,5900000,16800000,4,806, Approved,50800000
0, Graduate, No,9400000,27900000,6,456, Rejected,83300000
5, Graduate, No,5300000,13400000,8,719, Approved,18500000
4, Graduate, No,3700000,9000000,18,668, Approved,25900000
0, Graduate, Yes,2500000,5800000,18,494, Rejected,20300000
4, Not Graduate, No,2800000,10800000,2,841, Approved,14500000
0, Graduate, Yes,5400000,21400000,8,721, Approved,38700000
5, Graduate, No,3100000,9400000,10,414, Rejected,16300000
5, Not Graduate, No,4800000,15500000,10,812, Approved,32300000
1, Not Graduate, No,8800000,17500000,20,832, Approved,36800000
2, Graduate, No,4100000,14900000,12,571, Approved,21500000
5, Not Graduate, No,9700000,37000000,14,459, Rejected,75000000
2, Graduate, Yes,6400000,24100000,6,592, Approved,35000000
5, Graduate, No,3400000,13100000,20,527, Rejected,18000000
4, Not Graduate, No,3500000,10200000,12,333, Rejected,25500000
3, Not Graduate, No,3200000,10000000,18,532, Rejected,15300000
2, Graduate, Yes,4900000,13100000,18,754, Approved,35200000
0, Graduate, Yes,1300000,4800000,4,835, Rejected,4700000
4, Graduate, No,2500000,5400000,10,592, Approved,17700000
0, Graduate, No,7500000,27300000,20,553, Approved,46700000
2, Graduate, No,700000,2000000,8,806, Approved,5600000
4, Graduate, Yes,8200000,28500000,2,378, Approved,55900000
1, Not Graduate, No,6900000,26200000,4,534, Approved,50700000
1, Not Graduate, Yes,1500000,5900000,16,400, Rejected,12900000
3, Graduate, No,6300000,18300000,18,543, Rejected,32400000
0, Not Graduate, Yes,8800000,25600000,10,715, Approved,71300000
4, Graduate, Yes,8900000,20700000,6,684, Approved,37400000
3, Not Graduate, Yes,2100000,6100000,8,346, Rejected,13500000
1, Graduate, Yes,9200000,29200000,6,669, Approved,57900000
2, Not Graduate, No,3600000,8000000,12,566, Approved,25100000
0, Not Graduate, Yes,8600000,23600000,2,361, Rejected,63300000
5, Graduate, No,3000000,8000000,6,333, Rejected,14000000
3, Not Graduate, Yes,5200000,16300000,8,335, Rejected,37400000
3, Graduate, Yes,7200000,20400000,10,558, Approved,51000000
1, Not Graduate, Yes,4000000,15600000,12,436, Rejected,31200000
1, Not Graduate, No,2400000,5200000,2,371, Rejected,19100000
2, Not Graduate, Yes,5500000,18400000,10,515, Rejected,33800000
0, Not Graduate, Yes,9000000,24300000,10,599, Approved,49600000
0, Not Graduate, Yes,7900000,24000000,20,728, Approved,63400000
2, Not Graduate, Yes,6200000,21600000,20,679, Approved,54700000
3, Graduate, Yes,7900000,29200000,4,399, Approved,65800000
3, Not Graduate, No,1200000,4500000,6,819, Approved,7800000
1, Graduate, No,4700000,11700000,6,308, Rejected,31700000
5, Graduate, Yes,5900000,15600000,2,730, Approved,39100000
4, Not Graduate, Yes,1400000,5100000,14,312, Rejected,9600000
3, Not Graduate, Yes,4700000,12800000,16,740, Approved,28600000
5, Graduate, Yes,7600000,20000000,10,522, Rejected,47600000
4, Graduate, No,7200000,16900000,4,702, Approved,54600000
4, Not Graduate, Yes,1400000,4300000,16,447, Rejected,11100000
5, Graduate, No,1400000,2900000,4,829, Approved,8400000
2, Graduate, No,7900000,18500000,18,727, Approved,59300000
5, Not Graduate, Yes,7600000,18700000,14,509, Rejected,42900000
3, Graduate, Yes,9600000,34200000,2,745, Approved,44200000
1, Not Graduate, No,2300000,6600000,18,513, Rejected,16100000
2, Not Graduate, No,8100000,18500000,6,372, Rejected,68200000
2, Graduate, Yes,300000,700000,4,411, Rejected,1900000
4, Graduate, No,4700000,10800000,20,495, Rejected,39600000
5, Not Graduate, No,1100000,2500000,4,827, Approved,8100000
4, Not Graduate, No,8600000,25100000,6,820, Approved,53700000
5, Graduate, Yes,8700000,28100000,10,660, Approved,62300000
0, Not Graduate, No,2200000,8600000,4,563, Approved,9100000
1, Not Graduate, Yes,500000,1400000,10,883, Approved,2900000
0, Not Graduate, Yes,9100000,22000000,12,387, Rejected,79600000
1, Graduate, No,2200000,8700000,12,613, Approved,10400000
0, Not Graduate, Yes,2200000,8000000,14,335, Rejected,16300000
1, Graduate, Yes,9600000,34500000,2,795, Approved,51700000
1, Graduate, Yes,6500000,13900000,8,369, Rejected,35400000
4, Graduate, Yes,2400000,7400000,18,888, Approved,15100000
4, Not Graduate, No,5500000,12300000,6,742, Approved,39700000
0, Graduate, No,5000000,14400000,4,874, Approved,30300000
1, Graduate, No,2700000,8100000,16,691, Approved,15800000
3, Not Graduate, Yes,8500000,30300000,12,762, Approved,40600000
1, Graduate, No,4400000,10700000,18,324, Rejected,23600000
4, Not Graduate, No,500000,1800000,20,777, Approved,2700000
0, Graduate, No,8300000,21400000,2,662, Approved,53100000
2, Not Graduate, Yes,6000000,13000000,12,462, Rejected,24800000
3, Not Graduate, Yes,4000000,10400000,14,609, Approved,25300000
5, Graduate, Yes,4400000,11700000,20,590, Approved,21400000
3, Graduate, Yes,4400000,15800000,18,779, Approved,31100000
2, Graduate, Yes,1900000,5000000,14,641, Approved,9800000
0, Graduate, Yes,5000000,18400000,12,752, Approved,35600000
0, Graduate, No,8000000,23700000,10,305, Rejected,63000000
4, Not Graduate, No,8200000,20700000,10,546, Rejected,53400000
2, Graduate, No,7000000,24200000,8,833, Approved,53000000
2, Not Graduate, No,2400000,8800000,18,421, Rejected,12800000
5, Graduate, No,6600000,18800000,4,639, Approved,33700000
3, Graduate, No,3200000,6900000,20,735, Approved,17500000
0, Not Graduate, Yes,2600000,5400000,2,377, Rejected,13800000
3, Not Graduate, No,6900000,15600000,20,310, Rejected,33300000
4, Graduate, No,4800000,14000000,2,695, Approved,33000000
1, Not Graduate, Yes,300000,1200000,4,355, Approved,2000000
1, Not Graduate, Yes,4300000,14100000,12,525, Rejected,22800000
5, Not Graduate, No,700000,2400000,20,330, Rejected,5000000
5, Graduate, No,9400000,25800000,14,625, Approved,85500000
3, Not Graduate, Yes,800000,2900000,10,644, Approved,4400000
5, Not Graduate, No,4400000,14900000,4,865, Approved,32800000
1, Graduate, Yes,4700000,14800000,6,661, Approved,34500000
2, Not Graduate, No,2300000,5000000,8,884, Approved,10700000
5, Graduate, Yes,8500000,26700000,10,803, Approved,51100000
2, Graduate, No,7600000,28300000,12,800, Approved,57900000
2, Graduate, No,3200000,12600000,18,796, Approved,21300000
4, Not Graduate, No,2400000,5000000,4,716, Approved,12600000
0, Graduate, Yes,500000,1100000,18,479, Rejected,4400000
3, Not Graduate, Yes,8500000,28300000,2,810, Approved,58700000
0, Graduate, Yes,8900000,20900000,18,568, Approved,57500000
0, Graduate, No,2800000,5600000,8,842, Approved,9300000
3, Not Graduate, Yes,2900000,7000000,4,806, Approved,20200000
1, Graduate, Yes,4900000,17700000,8,722, Approved,35900000
5, Not Graduate, No,9600000,20700000,14,442, Rejected,75600000
3, Graduate, Yes,3300000,9800000,6,360, Rejected,20500000
3, Not Graduate, No,2800000,5900000,4,461, Rejected,13700000
2, Graduate, No,7800000,22200000,10,735, Approved,44200000
4, Graduate, Yes,2500000,8400000,12,761, Approved,17600000
0, Graduate, No,4400000,10600000,20,653, Approved,33600000
0, Not Graduate, No,7900000,30800000,4,726, Approved,48900000
1, Graduate, No,8900000,22600000,18,617, Approved,63500000
0, Graduate, No,5600000,13400000,2,460, Rejected,26400000
1, Not Graduate, No,1400000,3300000,8,306, Rejected,7500000
5, Graduate, Yes,500000,1400000,4,471, Rejected,2200000
1, Graduate, Yes,5100000,15300000,4,628, Approved,30500000
3, Graduate, No,9800000,25600000,10,404, Rejected,79600000
2, Graduate, Yes,8600000,21600000,16,804, Approved,49600000
3, Not Graduate, No,1600000,3900000,20,804, Approved,7400000
1, Not Graduate, Yes,2500000,6700000,2,502, Rejected,16800000
0, Graduate, No,9500000,22600000,6,861, Approved,72500000
2, Not Graduate, Yes,3000000,7800000,14,555, Approved,20600000
0, Not Graduate, No,5100000,13600000,18,351, Rejected,27400000
2, Not Graduate, Yes,7600000,23600000,6,358, Rejected,56100000
5, Graduate, No,8800000,18800000,14,836, Approved,65500000
4, Not Graduate, Yes,1100000,2900000,4,554, Approved,9500000
3, Graduate, No,8700000,30500000,2,443, Approved,46300000
5, Not Graduate, No,6100000,23600000,4,725, Approved,42900000
2, Not Graduate, Yes,1900000,7000000,14,818, Approved,14900000
1, Not Graduate, No,9900000,38700000,6,670, Approved,74300000
0, Graduate, No,5800000,21100000,6,414, Rejected,31900000
2, Not Graduate, Yes,9500000,37000000,8,887, Approved,71000000
3, Graduate, Yes,7900000,26600000,12,409, Rejected,49700000
1, Not Graduate, Yes,1300000,4500000,14,679, Approved,10100000
4, Graduate, Yes,700000,2600000,18,478, Rejected,3600000
3, Graduate, No,600000,1200000,2,752, Approved,4600000
0, Graduate, No,9400000,33000000,4,616, Approved,53300000
2, Not Graduate, Yes,3800000,12500000,14,842, Approved,30300000
3, Graduate, Yes,7800000,26300000,20,840, Approved,41900000
3, Graduate, Yes,7800000,27700000,6,430, Rejected,41400000
4, Not Graduate, No,2700000,7000000,4,351, Rejected,14400000
5, Not Graduate, No,600000,2300000,4,347, Rejected,2100000
3, Not Graduate, Yes,8000000,28800000,10,576, Approved,54500000
0, Not Graduate, Yes,4000000,11000000,8,799, Approved,29400000
1, Not Graduate, Yes,3300000,10800000,2,550, Approved,25500000
2, Graduate, No,5800000,13300000,4,878, Approved,36900000
3, Graduate, Yes,2400000,4800000,12,895, Approved,17700000
4, Not Graduate, No,7600000,29700000,6,603, Approved,44900000
2, Not Graduate, Yes,2500000,6900000,12,325, Rejected,17400000
2, Graduate, No,3300000,11800000,4,393, Approved,18800000
3, Graduate, No,9800000,30300000,2,612, Approved,53000000
0, Graduate, Yes,1000000,3800000,8,553, Approved,6900000
0, Not Graduate, Yes,2500000,8800000,14,389, Rejected,20800000
0, Graduate, No,1900000,6800000,4,782, Approved,10800000
3, Graduate, No,3100000,8500000,12,493, Rejected,27800000
5, Graduate, Yes,6000000,11900000,2,629, Approved,25900000
5, Not Graduate, No,6500000,21600000,10,419, Rejected,41400000
2, Not Graduate, Yes,5900000,15800000,2,444, Rejected,44400000
5, Not Graduate, Yes,6500000,15800000,16,301, Rejected,43600000
0, Graduate, Yes,3800000,11200000,20,479, Rejected,24900000
3, Not Graduate, Yes,3000000,11400000,10,424, Rejected,18400000
0, Graduate, No,4300000,16900000,18,469, Rejected,24200000
4, Not Graduate, Yes,3500000,8300000,2,897, Approved,27800000
3, Not Graduate, No,300000,500000,2,477, Rejected,2100000
3, Not Graduate, Yes,600000,1400000,16,509, Rejected,4200000
0, Graduate, Yes,800000,1700000,4,752, Approved,7000000
0, Not Graduate, Yes,5600000,19100000,14,875, Approved,44200000
2, Not Graduate, Yes,1800000,3600000,4,343, Rejected,12200000
0, Graduate, No,6800000,20800000,20,819, Approved,63100000
2, Graduate, Yes,4200000,16800000,2,433, Approved,21100000
1, Not Graduate, Yes,200000,400000,6,768, Approved,1000000
2, Graduate, Yes,8500000,31800000,6,714, Approved,50100000
2, Not Graduate, Yes,2800000,10100000,16,531, Rejected,17100000
0, Graduate, Yes,3600000,8600000,6,529, Rejected,23300000
1, Not Graduate, No,6200000,19500000,20,448, Rejected,40800000
1, Graduate, No,2700000,10000000,2,584, Approved,20300000
1, Graduate, No,6800000,22900000,4,501, Approved,35000000
2, Not Graduate, No,6300000,24500000,18,848, Approved,40100000
4, Not Graduate, No,8800000,19100000,6,586, Approved,59400000
1, Graduate, No,5900000,13000000,2,386, Rejected,37100000
5, Not Graduate, Yes,9800000,37900000,18,301, Rejected,52100000
2, Graduate, No,3300000,8300000,6,653, Approved,20700000
4, Graduate, Yes,300000,500000,14,448, Rejected,1700000
1, Not Graduate, Yes,4800000,11600000,16,696, Approved,29100000
1, Graduate, No,7500000,28300000,16,707, Approved,33800000
2, Not Graduate, No,8600000,21700000,4,429, Rejected,53200000
4, Not Graduate, No,8900000,21100000,6,631, Approved,36400000
5, Not Graduate, Yes,9600000,29600000,4,446, Approved,76200000
0, Graduate, Yes,7700000,18100000,18,705, Approved,41300000
3, Not Graduate, Yes,7000000,15200000,2,709, Approved,47500000
4, Not Graduate, Yes,7800000,19500000,14,739, Approved,35700000
3, Graduate, No,5100000,11000000,6,336, Rejected,24800000
4, Graduate, No,9400000,32600000,4,898, Approved,54400000
4, Not Graduate, Yes,600000,2100000,6,558, Approved,4800000
3, Graduate, No,5100000,13300000,4,589, Approved,40200000
2, Graduate, Yes,3800000,14400000,2,301, Rejected,13700000
2, Not Graduate, Yes,5300000,21200000,14,516, Rejected,35800000
5, Not Graduate, No,1100000,3600000,12,315, Rejected,6500000
3, Not Graduate, No,6400000,14400000,10,546, Rejected,46900000
0, Not Graduate, Yes,5100000,14500000,14,559, Approved,30400000
3, Graduate, Yes,5300000,16900000,2,350, Approved,40000000
1, Graduate, No,6700000,18700000,8,583, Approved,37400000
2, Not Graduate, No,4000000,9400000,8,874, Approved,23100000
2, Not Graduate, Yes,3900000,11600000,8,808, Approved,26800000
1, Graduate, Yes,1600000,4900000,16,487, Rejected,11300000
3, Graduate, No,2700000,7800000,14,870, Approved,18500000
3, Graduate, No,1400000,3800000,8,840, Approved,8700000
4, Not Graduate, Yes,8000000,19200000,18,682, Approved,35700000
3, Graduate, Yes,8200000,28900000,10,668, Approved,67900000
5, Graduate, Yes,4800000,10300000,8,781, Approved,27000000
4, Graduate, No,8100000,19000000,6,375, Rejected,49600000
4, Not Graduate, No,5900000,14900000,14,857, Approved,31600000
5, Graduate, Yes,8100000,32100000,6,823, Approved,50600000
0, Graduate, No,1400000,5000000,8,686, Approved,8400000
1, Graduate, No,1600000,6300000,2,721, Approved,9700000
4, Graduate, No,4600000,9400000,18,545, Rejected,21000000
1, Not Graduate, No,2900000,8900000,6,523, Rejected,18000000
2, Graduate, Yes,8600000,24900000,20,607, Approved,58400000
4, Not Graduate, No,3800000,14900000,20,428, Rejected,24700000
0, Not Graduate, No,8200000,20300000,4,666, Approved,57000000
3, Graduate, No,3200000,10100000,20,704, Approved,21100000
0, Not Graduate, Yes,8100000,23800000,10,794, Approved,50400000
1, Graduate, Yes,9800000,23300000,12,430, Rejected,60200000
0, Not Graduate, No,200000,500000,20,615, Approved,1500000
0, Not Graduate, No,6600000,14100000,20,360, Rejected,45100000
0, Not Graduate, No,9100000,18300000,14,458, Rejected,59400000
2, Not Graduate, No,5500000,20400000,12,887, Approved,33800000
4, Not Graduate, No,7200000,27400000,8,735, Approved,57200000
1, Not Graduate, No,2400000,5600000,16,379, Rejected,14900000
4, Graduate, No,9600000,25500000,20,544, Rejected,50300000
1, Graduate, Yes,5800000,16700000,12,721, Approved,35500000
4, Not Graduate, No,2300000,6000000,8,676, Approved,13400000
1, Not Graduate, No,300000,1200000,4,342, Approved,2200000
0, Not Graduate, No,9900000,27000000,16,566, Approved,69200000
2, Not Graduate, No,3500000,14000000,2,355, Approved,25000000
2, Graduate, No,4800000,18500000,20,605, Approved,31700000
2, Not Graduate, No,1600000,5200000,16,525, Rejected,10400000
5, Graduate, Yes,800000,2500000,12,403, Rejected,4500000
1, Graduate, Yes,9000000,33500000,18,727, Approved,62700000
1, Graduate, No,8300000,28900000,12,529, Rejected,60500000
4, Graduate, No,2800000,6100000,18,415, Rejected,16800000
1, Graduate, Yes,6400000,17300000,10,879, Approved,34700000
2, Not Graduate, Yes,6000000,12600000,16,649, Approved,39100000
0, Graduate, No,2900000,9800000,16,395, Rejected,20700000
0, Graduate, No,6500000,24100000,20,488, Rejected,41900000
1, Graduate, Yes,200000,400000,8,569, Approved,1400000
1, Not Graduate, No,8400000,24600000,14,817, Approved,54400000
1, Graduate, Yes,6100000,17800000,20,706, Approved,48100000
2, Graduate, Yes,8000000,31200000,8,553, Approved,41600000
5, Not Graduate, Yes,900000,1800000,14,464, Rejected,5100000
2, Graduate, No,7300000,20000000,6,729, Approved,50800000
4, Not Graduate, Yes,3700000,7400000,12,363, Rejected,26500000
2, Graduate, No,5200000,17200000,12,565, Approved,31100000
1, Graduate, No,7200000,21000000,14,421, Rejected,41500000
0, Not Graduate, Yes,9400000,34200000,10,512, Rejected,67600000
3, Not Graduate, Yes,3400000,12400000,2,730, Approved,23200000
0, Graduate, No,600000,2300000,8,627, Approved,4800000
0, Not Graduate, Yes,3300000,10000000,16,434, Rejected,24100000
2, Graduate, Yes,5900000,14300000,2,410, Rejected,37300000
3, Not Graduate, No,1300000,3600000,16,624, Approved,9900000
4, Graduate, Yes,5700000,16900000,4,656, Approved,50800000
2, Not Graduate, No,7700000,27300000,16,758, Approved,45800000
4, Not Graduate, Yes,7000000,23500000,18,336, Rejected,52000000
5, Graduate, No,8100000,21900000,18,378, Rejected,34400000
1, Graduate, Yes,1900000,4200000,4,620, Approved,15900000
2, Graduate, No,4500000,9100000,18,593, Approved,15400000
0, Not Graduate, Yes,9600000,34000000,12,710, Approved,80000000
1, Not Graduate, Yes,5400000,20700000,8,753, Approved,25300000
1, Not Graduate, Yes,7800000,27200000,16,454, Rejected,48000000
1, Graduate, Yes,8200000,19100000,8,619, Approved,67500000
2, Graduate, No,8900000,28500000,6,367, Rejected,69600000
1, Graduate, No,1400000,3100000,20,384, Rejected,7400000
2, Graduate, No,1700000,5900000,16,610, Approved,8400000
0, Graduate, No,5300000,19500000,12,802, Approved,31500000
3, Graduate, No,6500000,25200000,10,858, Approved,48400000
2, Graduate, No,5900000,14000000,8,599, Approved,38700000
4, Graduate, Yes,9800000,27000000,2,395, Rejected,54400000
3, Graduate, Yes,7700000,16200000,6,380, Rejected,55500000
1, Graduate, No,7900000,27100000,10,803, Approved,58600000
4, Graduate, No,3500000,8900000,20,809, Approved,25500000
4, Not Graduate, No,2400000,6600000,2,722, Approved,18000000
5, Graduate, No,9900000,35700000,10,392, Rejected,64400000
0, Graduate, No,3900000,14500000,8,545, Rejected,22600000
2, Not Graduate, Yes,7300000,28500000,10,799, Approved,44700000
0, Graduate, Yes,6400000,21900000,12,727, Approved,54800000
4, Graduate, No,7100000,19800000,18,530, Rejected,38500000
2, Not Graduate, No,8800000,19000000,14,637, Approved,60800000
5, Graduate, No,7400000,21000000,4,561, Approved,55400000
2, Not Graduate, No,4400000,12000000,20,421, Rejected,31100000
3, Graduate, Yes,8600000,30300000,14,459, Rejected,49000000
3, Not Graduate, No,6900000,26000000,14,828, Approved,41100000
4, Graduate, No,9600000,27500000,20,679, Approved,75000000
2, Graduate, Yes,8100000,25700000,8,455, Rejected,63100000
0, Not Graduate, No,2600000,9400000,18,879, Approved,11600000
3, Graduate, Yes,9300000,26100000,14,636, Approved,66900000
2, Not Graduate, Yes,2100000,5600000,16,426, Rejected,9000000
4, Not Graduate, Yes,9000000,21500000,14,508, Rejected,71300000
3, Not Graduate, Yes,7000000,19200000,4,768, Approved,49200000
3, Not Graduate, No,2200000,6400000,20,667, Approved,21400000
5, Graduate, Yes,7500000,28200000,2,440, Approved,44400000
1, Graduate, Yes,8300000,16800000,2,366, Rejected,60400000
2, Not Graduate, No,300000,600000,2,383, Rejected,2400000
0, Not Graduate, Yes,300000,800000,4,603, Approved,1800000
3, Graduate, No,3900000,14900000,4,728, Approved,29100000
0, Not Graduate, No,6600000,20300000,6,549, Rejected,44600000
0, Graduate, No,4100000,10700000,8,855, Approved,26500000
5, Graduate, Yes,1800000,5300000,12,461, Rejected,11500000
3, Not Graduate, Yes,7000000,16100000,16,379, Rejected,40200000
2, Not Graduate, Yes,5100000,13700000,6,559, Approved,35400000
1, Not Graduate, Yes,300000,600000,8,816, Approved,2200000
4, Not Graduate, Yes,4300000,11400000,2,560, Approved,26100000
0, Graduate, Yes,3200000,12000000,14,645, Approved,22100000
4, Not Graduate, Yes,4200000,11500000,6,551, Approved,34500000
0, Not Graduate, Yes,9600000,22900000,8,515, Rejected,60100000
4, Graduate, No,1300000,3600000,10,657, Approved,9100000
3, Not Graduate, No,2400000,9300000,2,682, Approved,14200000
0, Graduate, No,600000,1600000,10,588, Approved,3100000
5, Graduate, Yes,9600000,38000000,10,359, Rejected,63300000
0, Graduate, No,400000,1200000,4,766, Approved,2700000
4, Graduate, No,5900000,19900000,14,469, Rejected,46300000
0, Graduate, Yes,700000,1400000,10,618, Approved,3700000
0, Not Graduate, Yes,8600000,17700000,20,711, Approved,60200000
0, Graduate, Yes,9000000,34000000,4,549, Approved,43300000
3, Graduate, Yes,5100000,20400000,6,754, Approved,23700000
4, Not Graduate, Yes,500000,1500000,6,461, Rejected,3700000
2, Graduate, No,1600000,3800000,10,837, Approved,12000000
0, Graduate, Yes,9800000,23900000,14,459, Rejected,42700000
4, Graduate, No,7800000,29700000,20,614, Approved,55800000
4, Not Graduate, No,6500000,24000000,16,373, Rejected,33000000
5, Graduate, Yes,7500000,26500000,12,512, Rejected,49100000
4, Graduate, Yes,8900000,23400000,18,781, Approved,50300000
4, Graduate, Yes,1800000,5800000,14,305, Rejected,9500000
1, Not Graduate, Yes,7600000,27800000,6,447, Rejected,33000000
4, Graduate, Yes,1200000,4600000,6,757, Approved,8400000
5, Graduate, Yes,2700000,10400000,2,723, Approved,15200000
1, Not Graduate, Yes,4600000,10900000,12,463, Rejected,19900000
2, Not Graduate, No,6900000,18700000,10,699, Approved,44900000
4, Graduate, Yes,8400000,25200000,2,308, Approved,55600000
0, Graduate, No,300000,500000,18,702, Approved,2000000
2, Not Graduate, Yes,9500000,37500000,4,456, Approved,74000000
3, Graduate, Yes,1900000,5900000,8,651, Approved,10500000
3, Not Graduate, No,4200000,14500000,20,840, Approved,23900000
4, Graduate, Yes,2200000,7900000,18,848, Approved,16900000
5, Graduate, Yes,7100000,19700000,4,727, Approved,50000000
4, Graduate, No,3500000,11600000,10,335, Rejected,24100000
5, Not Graduate, No,400000,800000,18,304, Rejected,3200000
2, Graduate, Yes,8800000,34400000,2,712, Approved,58200000
0, Not Graduate, No,1800000,6600000,10,737, Approved,14500000
1, Graduate, Yes,7600000,29300000,14,690, Approved,57000000
1, Graduate, Yes,1000000,3200000,4,888, Approved,7000000
2, Not Graduate, Yes,8200000,27200000,10,839, Approved,47100000
5, Not Graduate, Yes,3600000,12400000,8,333, Rejected,24500000
5, Graduate, No,9400000,23700000,18,862, Approved,53000000
5, Not Graduate, No,2600000,9100000,4,309, Approved,17100000
5, Not Graduate, No,9500000,30700000,10,823, Approved,63400000
0, Graduate, Yes,3500000,11700000,14,649, Approved,19600000
5, Not Graduate, Yes,9800000,35700000,10,726, Approved,71500000
4, Graduate, No,800000,3100000,18,712, Approved,4100000
0, Not Graduate, No,9700000,37300000,20,701, Approved,62900000
3, Graduate, No,6200000,21300000,12,655, Approved,42300000
1, Not Graduate, Yes,4400000,16600000,18,385, Rejected,24600000
2, Graduate, No,1800000,3800000,4,777, Approved,13800000
3, Graduate, No,1700000,5300000,14,696, Approved,6300000
3, Graduate, No,3900000,14100000,16,496, Rejected,21300000
2, Graduate, Yes,2200000,7900000,6,659, Approved,16200000
3, Not Graduate, Yes,6300000,17700000,2,542, Rejected,39400000
2, Not Graduate, No,2200000,8700000,18,729, Approved,16100000
1, Graduate, No,8100000,28400000,6,744, Approved,60300000
4, Not Graduate, No,6800000,17000000,2,749, Approved,58300000
0, Graduate, No,4700000,14800000,20,755, Approved,36400000
3, Graduate, Yes,2200000,5300000,2,506, Rejected,11900000
3, Graduate, Yes,3500000,13000000,6,391, Rejected,27200000
1, Not Graduate, Yes,3500000,11600000,10,898, Approved,19300000
5, Not Graduate, No,500000,1500000,12,527, Rejected,2000000
5, Not Graduate, No,9900000,35800000,20,470, Rejected,81700000
1, Graduate, No,8400000,25000000,12,694, Approved,50900000
1, Graduate, No,5000000,18800000,14,325, Rejected,35900000
4, Not Graduate, Yes,5500000,13400000,10,880, Approved,23800000
5, Graduate, Yes,3000000,11900000,14,459, Rejected,26700000
3, Not Graduate, Yes,9400000,21400000,10,323, Rejected,61500000
4, Graduate, No,7600000,29000000,8,739, Approved,61100000
0, Not Graduate, Yes,5500000,16300000,10,724, Approved,31500000
1, Graduate, No,3100000,7400000,18,487, Rejected,23300000
3, Graduate, No,7700000,27700000,4,439, Approved,54700000
2, Graduate, No,9800000,25400000,2,655, Approved,53700000
3, Not Graduate, No,3200000,9200000,14,443, Rejected,16100000
2, Graduate, No,700000,2600000,20,489, Rejected,3600000
4, Not Graduate, Yes,3100000,8600000,14,427, Rejected,20500000
0, Graduate, Yes,4500000,10500000,20,417, Rejected,27200000
5, Not Graduate, Yes,8900000,24800000,18,842, Approved,49300000
3, Not Graduate, No,5900000,23200000,2,307, Approved,52900000
2, Not Graduate, No,1500000,4500000,18,428, Rejected,12400000
4, Not Graduate, Yes,6300000,15200000,16,415, Rejected,45900000
3, Not Graduate, Yes,6500000,18200000,20,405, Rejected,41200000
4, Graduate, No,8000000,31500000,18,683, Approved,57900000
1, Graduate, Yes,3300000,10600000,14,742, Approved,13800000
4, Not Graduate, No,3900000,10000000,10,530, Rejected,25300000
3, Graduate, No,1600000,3500000,10,844, Approved,13500000
2, Not Graduate, Yes,3900000,13900000,18,715, Approved,22600000
3, Graduate, Yes,8000000,26300000,12,476, Rejected,53700000
2, Graduate, No,2200000,4800000,6,721, Approved,11000000
4, Not Graduate, No,7600000,30300000,12,339, Rejected,56400000
5, Not Graduate, Yes,2700000,6800000,6,461, Rejected,16400000
2, Graduate, Yes,6300000,23200000,12,556, Approved,44800000
3, Not Graduate, No,7700000,18700000,8,483, Rejected,55500000
2, Graduate, No,4500000,17200000,18,406, Rejected,27500000
2, Graduate, Yes,9400000,24800000,14,513, Rejected,87100000
0, Not Graduate, No,4600000,12600000,16,574, Approved,28300000
0, Graduate, Yes,5200000,15700000,6,692, Approved,29100000
5, Graduate, Yes,8000000,29800000,18,867, Approved,63800000
1, Not Graduate, Yes,9900000,38500000,2,875, Approved,49200000
4, Graduate, Yes,8500000,18600000,10,597, Approved,52400000
2, Graduate, Yes,4900000,12000000,20,513, Rejected,45400000
3, Graduate, Yes,7000000,24200000,2,354, Approved,49000000
2, Not Graduate, No,9600000,25900000,18,647, Approved,68800000
1, Graduate, No,9700000,23700000,6,875, Approved,74400000
1, Graduate, No,6200000,14300000,20,819, Approved,40200000
4, Not Graduate, Yes,4100000,9600000,10,521, Rejected,38000000
0, Graduate, Yes,6100000,19900000,20,761, Approved,28000000
0, Graduate, No,700000,1900000,18,572, Approved,4700000
3, Graduate, No,6400000,24100000,12,571, Approved,51200000
4, Graduate, Yes,3800000,7800000,20,891, Approved,29200000
1, Not Graduate, No,4900000,14800000,12,895, Approved,40300000
